ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
"1,149",Location 171 - Location 1,171,1,1,11.382847005771730
"1,156",Location 172 - Location 1,172,1,1,10.464487189382744
"1,163",Location 173 - Location 1,173,1,1,8.376761485070205
"1,170",Location 174 - Location 1,174,1,1,9.493966319430365
"1,177",Location 175 - Location 1,175,1,1,6.395809518677561
"1,184",Location 176 - Location 1,176,1,1,6.738752375483763
"1,191",Location 177 - Location 1,177,1,1,5.699796441563750
"1,198",Location 178 - Location 1,178,1,1,5.266993369135321
"1,205",Location 179 - Location 1,179,1,1,5.154565811914246
"1,212",Location 180 - Location 1,180,1,1,5.689813061610444
"1,219",Location 181 - Location 1,181,1,1,5.350076595632450
"1,226",Location 182 - Location 1,182,1,1,4.885396685958137
"1,233",Location 183 - Location 1,183,1,1,8.217385301991806
"1,240",Location 184 - Location 1,184,1,1,9.041228865672251
"1,247",Location 185 - Location 1,185,1,1,10.606866550753752
"1,254",Location 186 - Location 1,186,1,1,9.471336091497589
"1,261",Location 187 - Location 1,187,1,1,11.140515422843306
"1,268",Location 188 - Location 1,188,1,1,8.156028617503150
"1,275",Location 189 - Location 1,189,1,1,7.618362069635603
"1,282",Location 190 - Location 1,190,1,1,2.822570815676894
"1,289",Location 191 - Location 1,191,1,1,11.233764128363690
"1,296",Location 192 - Location 1,192,1,1,5.411912765548266
"1,303",Location 193 - Location 1,193,1,1,5.591646819944486
"1,310",Location 194 - Location 1,194,1,1,6.106736567742136
"1,317",Location 195 - Location 1,195,1,1,6.235086534848493
"1,324",Location 196 - Location 1,196,1,1,1.428970948213897
"1,331",Location 197 - Location 1,197,1,1,3.705853687341532
"1,338",Location 198 - Location 1,198,1,1,2.653019841570814
"1,345",Location 199 - Location 1,199,1,1,0.988139970588009
"1,352",Location 200 - Location 1,200,1,1,1.758031996094467
"1,359",Location 201 - Location 1,201,1,1,3.213888158049559
"1,366",Location 202 - Location 1,202,1,1,2.625298303273115
"1,373",Location 203 - Location 1,203,1,1,3.048480981992628
"1,380",Location 204 - Location 1,204,1,1,2.488875111405082
"1,387",Location 205 - Location 1,205,1,1,4.321145440819007
"1,394",Location 206 - Location 1,206,1,1,4.692841611231104
"1,401",Location 207 - Location 1,207,1,1,6.245596427538338
"1,408",Location 208 - Location 1,208,1,1,4.832893562585655
"1,415",Location 209 - Location 1,209,1,1,3.900537350924504
"1,422",Location 210 - Location 1,210,1,1,4.433863794557067
"1,429",Location 211 - Location 1,211,1,1,5.099258155555795
"1,436",Location 212 - Location 1,212,1,1,7.322502917004696
"1,443",Location 213 - Location 1,213,1,1,5.615976899261309
"1,450",Location 214 - Location 1,214,1,1,6.706181782135150
"1,457",Location 215 - Location 1,215,1,1,6.057782207148700
"1,464",Location 216 - Location 1,216,1,1,5.660998927662929
"1,471",Location 217 - Location 1,217,1,1,4.659515272596128
"1,478",Location 218 - Location 1,218,1,1,8.402199392740521
"1,485",Location 219 - Location 1,219,1,1,7.830546057956809
"1,492",Location 220 - Location 1,220,1,1,9.258961999542404
"1,499",Location 221 - Location 1,221,1,1,12.416348869855272
"1,506",Location 222 - Location 1,222,1,1,11.841447555984635
"1,513",Location 223 - Location 1,223,1,1,15.629023243760084
"1,520",Location 224 - Location 1,224,1,1,15.803146851503980
"1,527",Location 225 - Location 1,225,1,1,15.046074455361797
"1,534",Location 226 - Location 1,226,1,1,15.953608340491067
"1,541",Location 227 - Location 1,227,1,1,14.754762893699723
"1,548",Location 228 - Location 1,228,1,1,10.589110931681709
"1,555",Location 229 - Location 1,229,1,1,12.658009236851575
